Date,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,rate,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
2023/9/8,USD,本行買入,31.61,31.96,31.93,31.835,31.705,31.582,31.448,31.32,31.198,本行賣出,32.28,32.06,32.037,31.95,31.828,31.715,31.592,31.475,31.365
2023/9/7,USD,本行買入,31.595,31.945,31.915,31.82,31.69,31.567,31.433,31.305,31.183,本行賣出,32.265,32.045,32.022,31.935,31.813,31.7,31.577,31.46,31.35
2023/9/6,USD,本行買入,31.565,31.915,31.885,31.79,31.66,31.537,31.403,31.275,31.153,本行賣出,32.235,32.015,31.992,31.905,31.783,31.67,31.547,31.43,31.32
2023/9/5,USD,本行買入,31.495,31.845,31.815,31.72,31.59,31.467,31.333,31.205,31.083,本行賣出,32.165,31.945,31.922,31.835,31.713,31.6,31.477,31.36,31.25
2023/9/4,USD,本行買入,31.48,31.83,31.8,31.705,31.575,31.452,31.318,31.19,31.068,本行賣出,32.15,31.93,31.907,31.82,31.698,31.585,31.462,31.345,31.235
2023/9/1,USD,本行買入,31.46,31.81,31.78,31.685,31.555,31.432,31.298,31.17,31.048,本行賣出,32.13,31.91,31.887,31.8,31.678,31.565,31.442,31.325,31.215
2023/8/31,USD,本行買入,31.46,31.81,31.779,31.685,31.552,31.429,31.296,31.166,31.044,本行賣出,32.13,31.91,31.886,31.798,31.677,31.565,31.444,31.324,31.214
2023/8/30,USD,本行買入,31.46,31.81,31.779,31.681,31.557,31.431,31.292,31.166,31.045,本行賣出,32.13,31.91,31.886,31.795,31.683,31.569,31.44,31.324,31.215
2023/8/29,USD,本行買入,31.485,31.835,31.804,31.71,31.577,31.451,31.326,31.187,31.066,本行賣出,32.155,31.935,31.911,31.823,31.703,31.59,31.476,31.36,31.235
2023/8/28,USD,本行買入,31.48,31.83,31.799,31.705,31.572,31.446,31.321,31.182,31.061,本行賣出,32.15,31.93,31.906,31.818,31.698,31.585,31.471,31.355,31.23
2023/8/25,USD,本行買入,31.45,31.8,31.769,31.675,31.542,31.416,31.291,31.152,31.031,本行賣出,32.12,31.9,31.876,31.788,31.668,31.555,31.441,31.325,31.2
2023/8/24,USD,本行買入,31.385,31.735,31.704,31.6,31.475,31.341,31.203,31.077,30.94,本行賣出,32.055,31.835,31.811,31.715,31.602,31.482,31.358,31.245,31.117
2023/8/23,USD,本行買入,31.53,31.88,31.849,31.745,31.62,31.486,31.348,31.222,31.085,本行賣出,32.2,31.98,31.956,31.86,31.747,31.627,31.503,31.39,31.262
2023/8/22,USD,本行買入,31.54,31.89,31.859,31.755,31.63,31.496,31.358,31.232,31.095,本行賣出,32.21,31.99,31.966,31.87,31.757,31.637,31.513,31.4,31.272
2023/8/21,USD,本行買入,31.57,31.92,31.892,31.799,31.681,31.565,31.44,31.329,31.212,本行賣出,32.24,32.02,31.998,31.912,31.804,31.7,31.585,31.483,31.377
2023/8/18,USD,本行買入,31.55,31.9,31.872,31.779,31.661,31.545,31.42,31.309,31.192,本行賣出,32.22,32,31.978,31.892,31.784,31.68,31.565,31.463,31.357
2023/8/17,USD,本行買入,31.575,31.925,31.897,31.804,31.686,31.57,31.445,31.334,31.217,本行賣出,32.245,32.025,32.003,31.917,31.809,31.705,31.59,31.488,31.382
2023/8/16,USD,本行買入,31.495,31.845,31.817,31.724,31.606,31.49,31.365,31.254,31.137,本行賣出,32.165,31.945,31.923,31.837,31.729,31.625,31.51,31.408,31.302
2023/8/15,USD,本行買入,31.525,31.875,31.847,31.754,31.636,31.52,31.395,31.284,31.167,本行賣出,32.195,31.975,31.953,31.867,31.759,31.655,31.54,31.438,31.332
2023/8/14,USD,本行買入,31.53,31.88,31.852,31.759,31.641,31.525,31.4,31.289,31.172,本行賣出,32.2,31.98,31.958,31.872,31.764,31.66,31.545,31.443,31.337
2023/8/11,USD,本行買入,31.4,31.75,31.722,31.629,31.511,31.395,31.27,31.159,31.042,本行賣出,32.07,31.85,31.828,31.742,31.634,31.53,31.415,31.313,31.207
2023/8/10,USD,本行買入,31.365,31.715,31.687,31.594,31.476,31.36,31.235,31.124,31.007,本行賣出,32.035,31.815,31.793,31.707,31.599,31.495,31.38,31.278,31.172
2023/8/9,USD,本行買入,31.34,31.69,31.662,31.569,31.451,31.335,31.21,31.099,30.982,本行賣出,32.01,31.79,31.768,31.682,31.574,31.47,31.355,31.253,31.147
2023/8/8,USD,本行買入,31.41,31.76,31.732,31.639,31.521,31.405,31.28,31.169,31.052,本行賣出,32.08,31.86,31.838,31.752,31.644,31.54,31.425,31.323,31.217
2023/8/7,USD,本行買入,31.27,31.62,31.592,31.499,31.381,31.265,31.14,31.029,30.912,本行賣出,31.94,31.72,31.698,31.612,31.504,31.4,31.285,31.183,31.077
2023/8/4,USD,本行買入,31.29,31.64,31.612,31.519,31.401,31.285,31.16,31.049,30.932,本行賣出,31.96,31.74,31.718,31.632,31.524,31.42,31.305,31.203,31.097
2023/8/3,USD,本行買入,31.235,31.585,31.557,31.464,31.346,31.23,31.105,30.994,30.877,本行賣出,31.905,31.685,31.663,31.577,31.469,31.365,31.25,31.148,31.042
2023/8/2,USD,本行買入,31.225,31.575,31.547,31.454,31.336,31.22,31.095,30.984,30.867,本行賣出,31.895,31.675,31.653,31.567,31.459,31.355,31.24,31.138,31.032
2023/8/1,USD,本行買入,31.11,31.46,31.432,31.339,31.221,31.105,30.98,30.869,30.752,本行賣出,31.78,31.56,31.538,31.452,31.344,31.24,31.125,31.023,30.917
2023/7/31,USD,本行買入,31.02,31.37,31.342,31.249,31.131,31.015,30.89,30.779,30.662,本行賣出,31.69,31.47,31.448,31.362,31.254,31.15,31.035,30.933,30.827
2023/7/28,USD,本行買入,30.995,31.345,31.317,31.224,31.106,30.99,30.865,30.754,30.637,本行賣出,31.665,31.445,31.423,31.337,31.229,31.125,31.01,30.908,30.802
2023/7/27,USD,本行買入,30.825,31.175,31.147,31.054,30.936,30.82,30.695,30.584,30.467,本行賣出,31.495,31.275,31.253,31.167,31.059,30.955,30.84,30.738,30.632
2023/7/26,USD,本行買入,30.835,31.185,31.157,31.064,30.946,30.83,30.705,30.594,30.477,本行賣出,31.505,31.285,31.263,31.177,31.069,30.965,30.85,30.748,30.642
2023/7/25,USD,本行買入,30.905,31.255,31.227,31.134,31.016,30.9,30.775,30.664,30.547,本行賣出,31.575,31.355,31.333,31.247,31.139,31.035,30.92,30.818,30.712
2023/7/24,USD,本行買入,30.96,31.31,31.282,31.189,31.071,30.955,30.83,30.719,30.602,本行賣出,31.63,31.41,31.388,31.302,31.194,31.09,30.975,30.873,30.767
2023/7/21,USD,本行買入,30.835,31.185,31.157,31.064,30.946,30.83,30.705,30.594,30.477,本行賣出,31.505,31.285,31.263,31.177,31.069,30.965,30.85,30.748,30.642
2023/7/20,USD,本行買入,30.67,31.02,30.992,30.895,30.78,30.665,30.55,30.432,30.3,本行賣出,31.34,31.12,31.099,31.012,30.908,30.805,30.698,30.596,30.488
2023/7/19,USD,本行買入,30.66,31.01,30.982,30.885,30.77,30.655,30.54,30.422,30.29,本行賣出,31.33,31.11,31.089,31.002,30.898,30.795,30.688,30.586,30.478
2023/7/18,USD,本行買入,30.585,30.935,30.907,30.81,30.695,30.58,30.465,30.347,30.215,本行賣出,31.255,31.035,31.014,30.927,30.823,30.72,30.613,30.511,30.403
2023/7/17,USD,本行買入,30.645,30.995,30.963,30.883,30.762,30.647,30.535,30.418,30.301,本行賣出,31.315,31.095,31.072,30.998,30.888,30.785,30.685,30.58,30.475
2023/7/14,USD,本行買入,30.485,30.835,30.803,30.723,30.602,30.487,30.375,30.258,30.141,本行賣出,31.155,30.935,30.912,30.838,30.728,30.625,30.525,30.42,30.315
2023/7/13,USD,本行買入,30.67,31.02,30.988,30.908,30.787,30.672,30.56,30.443,30.326,本行賣出,31.34,31.12,31.097,31.023,30.913,30.81,30.71,30.605,30.5
2023/7/12,USD,本行買入,30.83,31.18,31.148,31.068,30.947,30.832,30.72,30.603,30.486,本行賣出,31.5,31.28,31.257,31.183,31.073,30.97,30.87,30.765,30.66
2023/7/11,USD,本行買入,30.915,31.265,31.233,31.153,31.032,30.917,30.805,30.688,30.571,本行賣出,31.585,31.365,31.342,31.268,31.158,31.055,30.955,30.85,30.745
2023/7/10,USD,本行買入,30.985,31.335,31.303,31.223,31.102,30.987,30.875,30.758,30.641,本行賣出,31.655,31.435,31.412,31.338,31.228,31.125,31.025,30.92,30.815
2023/7/7,USD,本行買入,30.935,31.285,31.253,31.173,31.052,30.937,30.825,30.708,30.591,本行賣出,31.605,31.385,31.362,31.288,31.178,31.075,30.975,30.87,30.765
2023/7/6,USD,本行買入,30.83,31.18,31.148,31.068,30.947,30.832,30.72,30.603,30.486,本行賣出,31.5,31.28,31.257,31.183,31.073,30.97,30.87,30.765,30.66
2023/7/5,USD,本行買入,30.75,31.1,31.068,30.988,30.867,30.752,30.64,30.523,30.406,本行賣出,31.42,31.2,31.177,31.103,30.993,30.89,30.79,30.685,30.58
2023/7/4,USD,本行買入,30.715,31.065,31.033,30.953,30.832,30.717,30.605,30.488,30.371,本行賣出,31.385,31.165,31.142,31.068,30.958,30.855,30.755,30.65,30.545
2023/7/3,USD,本行買入,30.735,31.085,31.053,30.973,30.852,30.737,30.625,30.508,30.391,本行賣出,31.405,31.185,31.162,31.088,30.978,30.875,30.775,30.67,30.565
2023/6/30,USD,本行買入,30.74,31.09,31.058,30.978,30.857,30.742,30.63,30.513,30.396,本行賣出,31.41,31.19,31.167,31.093,30.983,30.88,30.78,30.675,30.57
2023/6/29,USD,本行買入,30.67,31.02,30.988,30.908,30.787,30.672,30.56,30.443,30.326,本行賣出,31.34,31.12,31.097,31.023,30.913,30.81,30.71,30.605,30.5
2023/6/28,USD,本行買入,30.67,31.02,30.988,30.908,30.787,30.672,30.56,30.443,30.326,本行賣出,31.34,31.12,31.097,31.023,30.913,30.81,30.71,30.605,30.5
2023/6/27,USD,本行買入,30.625,30.975,30.943,30.863,30.742,30.627,30.515,30.398,30.281,本行賣出,31.295,31.075,31.052,30.978,30.868,30.765,30.665,30.56,30.455
2023/6/26,USD,本行買入,30.61,30.96,30.928,30.848,30.727,30.612,30.5,30.383,30.266,本行賣出,31.28,31.06,31.037,30.963,30.853,30.75,30.65,30.545,30.44
2023/6/21,USD,本行買入,30.51,30.86,30.828,30.748,30.627,30.512,30.4,30.283,30.166,本行賣出,31.18,30.96,30.937,30.863,30.753,30.65,30.55,30.445,30.34
2023/6/20,USD,本行買入,30.495,30.845,30.817,30.733,30.605,30.497,30.383,30.261,30.155,本行賣出,31.165,30.945,30.925,30.847,30.737,30.637,30.535,30.425,30.325
2023/6/19,USD,本行買入,30.395,30.745,30.718,30.632,30.515,30.398,30.275,30.168,30.055,本行賣出,31.065,30.845,30.825,30.75,30.643,30.538,30.43,30.328,30.225
2023/6/17,USD,本行買入,30.335,30.685,30.644,30.566,30.452,30.33,30.22,30.105,29.99,本行賣出,31.005,30.785,30.755,30.682,30.578,30.465,30.374,30.27,30.17
2023/6/16,USD,本行買入,30.3,30.65,30.609,30.531,30.417,30.295,30.185,30.07,29.955,本行賣出,30.97,30.75,30.72,30.647,30.543,30.43,30.339,30.235,30.135
2023/6/15,USD,本行買入,30.315,30.665,30.624,30.546,30.432,30.31,30.2,30.085,29.97,本行賣出,30.985,30.765,30.735,30.662,30.558,30.445,30.354,30.25,30.15
2023/6/14,USD,本行買入,30.31,30.66,30.619,30.541,30.427,30.305,30.195,30.08,29.965,本行賣出,30.98,30.76,30.73,30.657,30.553,30.44,30.349,30.245,30.145
2023/6/13,USD,本行買入,30.3,30.65,30.623,30.539,30.424,30.305,30.186,30.078,29.968,本行賣出,30.97,30.75,30.73,30.656,30.546,30.443,30.338,30.242,30.147
2023/6/12,USD,本行買入,30.345,30.695,30.668,30.584,30.469,30.35,30.231,30.123,30.013,本行賣出,31.015,30.795,30.775,30.701,30.591,30.488,30.383,30.287,30.192
2023/6/9,USD,本行買入,30.32,30.67,30.64,30.56,30.435,30.325,30.213,30.096,29.99,本行賣出,30.99,30.77,30.75,30.68,30.563,30.463,30.365,30.257,30.16
2023/6/8,USD,本行買入,30.355,30.705,30.675,30.595,30.47,30.36,30.248,30.131,30.025,本行賣出,31.025,30.805,30.785,30.715,30.598,30.498,30.4,30.292,30.195
2023/6/7,USD,本行買入,30.305,30.655,30.63,30.547,30.425,30.32,30.209,30.09,29.98,本行賣出,30.975,30.755,30.739,30.665,30.555,30.46,30.365,30.26,30.165
2023/6/6,USD,本行買入,30.325,30.675,30.65,30.567,30.445,30.34,30.229,30.11,30,本行賣出,30.995,30.775,30.759,30.685,30.575,30.48,30.385,30.28,30.185
2023/6/5,USD,本行買入,30.29,30.64,30.612,30.527,30.411,30.298,30.175,30.075,29.96,本行賣出,30.96,30.74,30.72,30.646,30.542,30.442,30.334,30.247,30.145
2023/6/2,USD,本行買入,30.26,30.61,30.585,30.502,30.38,30.275,30.164,30.045,29.935,本行賣出,30.93,30.71,30.694,30.62,30.51,30.415,30.32,30.215,30.12
2023/6/1,USD,本行買入,30.335,30.685,30.659,30.569,30.465,30.339,30.237,30.12,30,本行賣出,31.005,30.785,30.768,30.691,30.589,30.477,30.39,30.29,30.19
2023/5/31,USD,本行買入,30.35,30.7,30.674,30.584,30.48,30.354,30.252,30.135,30.015,本行賣出,31.02,30.8,30.783,30.706,30.604,30.492,30.405,30.305,30.205
2023/5/30,USD,本行買入,30.245,30.595,30.569,30.479,30.374,30.262,30.145,30.035,29.925,本行賣出,30.915,30.695,30.681,30.601,30.498,30.4,30.301,30.204,30.103
2023/5/29,USD,本行買入,30.245,30.595,30.567,30.479,30.363,30.253,30.145,30.027,29.909,本行賣出,30.915,30.695,30.674,30.595,30.485,30.385,30.291,30.185,30.083
2023/5/26,USD,本行買入,30.345,30.695,30.667,30.579,30.463,30.353,30.245,30.127,30.009,本行賣出,31.015,30.795,30.774,30.695,30.585,30.485,30.391,30.285,30.183
2023/5/25,USD,本行買入,30.385,30.735,30.707,30.614,30.509,30.392,30.277,30.167,30.045,本行賣出,31.055,30.835,30.814,30.729,30.628,30.522,30.425,30.327,30.22
2023/5/24,USD,本行買入,30.395,30.745,30.717,30.624,30.519,30.402,30.287,30.177,30.055,本行賣出,31.065,30.845,30.824,30.739,30.638,30.532,30.435,30.337,30.23
2023/5/23,USD,本行買入,30.35,30.7,30.672,30.579,30.474,30.357,30.242,30.132,30.01,本行賣出,31.02,30.8,30.779,30.694,30.593,30.487,30.39,30.292,30.185
2023/5/22,USD,本行買入,30.28,30.63,30.602,30.495,30.394,30.282,30.16,30.055,29.942,本行賣出,30.95,30.73,30.709,30.615,30.518,30.412,30.302,30.215,30.112
2023/5/19,USD,本行買入,30.275,30.625,30.597,30.49,30.389,30.277,30.155,30.05,29.937,本行賣出,30.945,30.725,30.704,30.61,30.513,30.407,30.297,30.21,30.107
